,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,School ID,Private School Name,Private Low Grade,Private High Grade,Private Address,PSS_COUNTY_NO
77,,,,,,,,,,ALEXANDRIA,K9306152,ST AIDANS EPISCOPAL DAY SCHOOL,2.0,4.0,8531 RIVERSIDE RD,51059.0
78,,,,,,,,,,ALEXANDRIA,1432197,ST LOUIS CATHOLIC SCHOOL,2.0,13.0,2901 POPKINS LN,51059.0
79,,,,,,,,,,ALEXANDRIA,A1303607,ST LUKE'S DAY SCHOOL,2.0,4.0,8009 FORT HUNT RD,51059.0
80,,,,,,,,,,ALEXANDRIA,1432335,ST MARY'S ELEMENTARY SCHOOL,2.0,13.0,400 GREEN ST,51510.0
81,,,,,,,,,,ALEXANDRIA,1432288,ST RITA SCHOOL,2.0,13.0,3801 RUSSELL RD,51510.0
82,,,,,,,,,,ALEXANDRIA,A1371703,ST STEPHENS ST AGNES DAYSCHOOL,2.0,17.0,400 FONTAINE ST,51510.0
83,,,,,,,,,,ALEXANDRIA,A0508318,TAUXEMONT COOPERATIVE PRESCHOOL,2.0,3.0,7719 FORT HUNT RD,51059.0
84,,,,,,,,,,ALEXANDRIA,1434671,THE AQUINAS MONTESSORI SCHOOL,2.0,11.0,8334 MOUNT VERNON HWY,51059.0
85,,,,,,,,,,ALEXANDRIA,A1371713,THE DEL RAY MONTESSORI SCHOOL,2.0,8.0,100 E WINDSOR AVE RM 204,51510.0
86,,,,,,,,,,ALEXANDRIA,A0903718,THE HOWARD GARDNER SCHOOL,11.0,17.0,4913 FRANCONIA RD,51059.0
